"community"	"day"	"replicate"	"species"	"p_cells_mL"	"p_total_rep"	"rt_reps_ind_mL"	"rt_mean_ind_mL"	"rt_log_reps"	"rt_log_mean"	"rt_gr"	"rt_mean_gr"	"g_mean_rep"	"i_mean_rep"	"g_CWM"	"i_CWM"	"g_CWV"	"i_CWV"	"H_max"	"H"	"E"	"H_mean"	"E_mean"	"area_d0"	"area_d20"
"21"	"Community 1"	0	5	"C. reinhardtii"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.620725215466139	0.303991984536447	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"22"	"Community 1"	0	5	"B. texensis"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.751173011401012	0.885444467255187	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"23"	"Community 1"	0	5	"C. vulgaris"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.94801967938519	0.706235723967921	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"24"	"Community 1"	0	5	"M. minutum"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.777532897154121	0.267648090942784	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"25"	"Community 1"	0	5	"A. obliquus"	5000	25000	0.5	0.5	-0.693147180559945	-0.693147180559945	NA	NA	0.528633213882892	0.498987465459019	0.725216803457871	0.532461546432272	0.0205239048688197	0.0556501116422706	1.6094379124341	1.6094379124341	1	1.6094379124341	1	0.145894143237672	0.0879172179539942
"26"	"Community 1"	4	1	"C. reinhardtii"	265000	590000	6.4	10.16	1.85629799036563	2.31845844215034	0.637361292731393	0.740922752811317	0.620725215466139	0.303991984536447	0.775730482124568	0.460522149664463	0.0227410371951539	0.0408256359767376	1.6094379124341	1.00883167438976	0.626822362388627	1.02061005859636	0.634140683968851	0.145894143237672	0.0879172179539942
"27"	"Community 1"	4	1	"B. texensis"	0	590000	6.4	10.16	1.85629799036563	2.31845844215034	0.637361292731393	0.740922752811317	0.751173011401012	0.885444467255187	0.775730482124568	0.460522149664463	0.0227410371951539	0.0408256359767376	1.6094379124341	1.00883167438976	0.626822362388627	1.02061005859636	0.634140683968851	0.145894143237672	0.0879172179539942
"28"	"Community 1"	4	1	"C. vulgaris"	237500	590000	6.4	10.16	1.85629799036563	2.31845844215034	0.637361292731393	0.740922752811317	0.94801967938519	0.706235723967921	0.775730482124568	0.460522149664463	0.0227410371951539	0.0408256359767376	1.6094379124341	1.00883167438976	0.626822362388627	1.02061005859636	0.634140683968851	0.145894143237672	0.0879172179539942
"29"	"Community 1"	4	1	"M. minutum"	87500	590000	6.4	10.16	1.85629799036563	2.31845844215034	0.637361292731393	0.740922752811317	0.777532897154121	0.267648090942784	0.775730482124568	0.460522149664463	0.0227410371951539	0.0408256359767376	1.6094379124341	1.00883167438976	0.626822362388627	1.02061005859636	0.634140683968851	0.145894143237672	0.0879172179539942
"30"	"Community 1"	4	1	"A. obliquus"	0	590000	6.4	10.16	1.85629799036563	2.31845844215034	0.637361292731393	0.740922752811317	0.528633213882892	0.498987465459019	0.775730482124568	0.460522149664463	0.0227410371951539	0.0408256359767376	1.6094379124341	1.00883167438976	0.626822362388627	1.02061005859636	0.634140683968851	0.145894143237672	0.0879172179539942
"31"	"Community 1"	4	2	"C. reinhardtii"	235000	542500	10.4	10.16	2.34180580614733	2.31845844215034	0.758738246676818	0.740922752811317	0.620725215466139	0.303991984536447	0.782672752770799	0.471357657160029	0.02308167558576	0.0415142863441216	1.6094379124341	0.999079916459824	0.620763254513387	1.02061005859636	0.634140683968851	0.145894143237672	0.0879172179539942
"32"	"Community 1"	4	2	"B. texensis"	0	542500	10.4	10.16	2.34180580614733	2.31845844215034	0.758738246676818	0.740922752811317	0.751173011401012	0.885444467255187	0.782672752770799	0.471357657160029	0.02308167558576	0.0415142863441216	1.6094379124341	0.999079916459824	0.620763254513387	1.02061005859636	0.634140683968851	0.145894143237672	0.0879172179539942
